"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000006f457c0f8f560333d9c2877287d92a92","4000","No"
"0x000077d4cad5a94a505caea8d5a5c4c4eff969da","6000","No"
"0x0000b9296b4a8618bf4962405973f9ca40621001","4000","No"
"0x0005c6af02bfbd72123e240c396a3c1faacb1670","1000","No"
"0x000683a18db9ccce193b63c5173badde2142abfb","1000","No"
"0x000ad8bc3dfbe42d9a87686f67c69001a2006da4","28000","No"
"0x00487a69eb0c2cf4436469422e98d020dfac387b","7000","No"
"0x004928b0c3579b06031261355addcb68206b6962","1000","No"
"0x005a3e49af2cf567d655c6ccb3e5982e1d55e72b","1000","No"
"0x0062fe56b31c9b9b4d2bd457e43e4c02a81a9138","1000","No"
"0x00651b9e2924f1a5b63f6460832ab211e5829190","1000","No"
"0x00813a7da13628cabd816525832c15129c7f7327","1000","No"
"0x0085b08d2868f7b6f87df726dc2e8a8b06429610","1000","No"
"0x0087ccce2b9714c097542223142e1466b774c366","13344.5966658598","No"
"0x008fa7ec9b24322e2ce6ed8e7e3c3085d9a07178","4000","No"
"0x0094977cd8fcffac576b5f02414833cd5f7ebe52","9000","No"
"0x0097bcee565b27a2cc2ae90ae37c45d0ef243f06","42000","No"
"0x00a8968cc0fb5a02b7fdf002183a5f2c0fa44f76","1000","No"
"0x00b8209680946ba59ca3d021ede07ed4e1897ae9","14000","No"
"0x00be47b8d2fa642d867d1dea263c23d989408aa7","2000","No"
"0x00c0a9a037059e4223a35178dad893c386f08b8b","1000","No"
"0x00c941e4a5ee8acc9bdfd993aded46486c864e8e","3000","No"
"0x01010863160df4718d3ad14b7bd1693c5fb7b90b","6000","No"
"0x010506ad696ff2b9f757fe072dd35cae293e8deb","6000","No"
"0x01051f4933985ca98e538c7a12dc1b7a5d813b67","1000","No"
"0x0109bd425651ae9304eb0fcd457441de81489755","1000","No"
"0x010c977674d7f14c7babeea88042b99352247803","1000","No"
"0x01141b83d3bc7d7786c602ab7346ce33cd984fb9","3000","No"
"0x0125e087593f2fc4502aafeb24b09ef1c5847bca","9000","No"
"0x0128a48c8d34bf2f3d0d95388faa799bc0842297","1000","No"
"0x0144cdd542fe2babc7c0aad424c48c0a480dd6ec","3000","No"
"0x014bd2092b57b0ab1a0df6ec6df615e4822a2c21","1000","No"
"0x015f0c678e649cbaa70d4a29e6337b63c6495a07","1000","No"
"0x0167c33ddfd5299fc3c0abbe8f1553d498a6e70a","1000","No"
"0x01772e50f13f21e6a278e692423c4d514837f9de","2000","No"
"0x01851d51932c9ee38eb791611ac12234adf72ba6","45000","No"
"0x018f190e3e63900348b9f13e37a951888c4a5a22","2000","No"
"0x01944183d0be8905c3849f86bbae824977fb843d","1000","No"
"0x01bd34206096e2090c0b0984be2c7c31e0a636b4","50000","No"
"0x01c5976eb4e7b39a5bba97e6f3be36f1b0e6e2ee","1000","No"
"0x01f516c1124dab4da96db0aaa70c1119cd0fcfca","4000","No"
"0x0212af0cc695ab4e94cc8f8058ab1da4aa007a43","48950","No"
"0x021ec49bd405ca25bd68600c3407a178248ad707","2000","No"
"0x0231637dbc7b1f5f68fcac231010c6efcda07588","8000","No"
"0x023b54aafadd6fab018dff24db9efcc0f273ad16","20000","No"
"0x023d5dcc012288ae0d07dec3af3f998226130b36","14000","No"
"0x024316ffbc68a166d0400b026d24b94d320597cd","119890","No"
"0x024a0595854e36530d79a2efec523389ac5112f8","12750","No"
"0x026eb6b8bb5a66fb9ac2a0dd69db199dc2f0a579","50000","No"
"0x0273113b6955ea23f17b6af53394f59df26197b1","6000","No"
"0x027d1e3ca00b5a2fdb71818055b72dd458f15981","5000","No"
"0x028264d77c033e85df067deeb7c9c7f4decb3b69","6000","No"
"0x02839d335c840086469a4a1c595739e016290648","10000","No"
"0x0288ef956ed186ab3dfa92b77714814e5a55bfa4","4000","No"
"0x02943294b26bdf5ed46a52e6701957d81d189a99","1000","No"
"0x029733ae17c824ae7b1bc993d2d832bfeee5787b","32000","No"
"0x02d27ce0bb7bc58f7a0475d6e8b9fcddc3dbe101","15000","No"
"0x02e029440fbe80a77ee9167d8264953ec1c6853b","50000","No"
"0x02fadac1314096d4c6d256569908aa0ba1cbec76","50000","No"
"0x030eb510e846c4e51e446869626233fb4fe69326","53200","No"
"0x0315e4330dad50358d3efe8d7e0401fb9bc5baf1","1000","No"
"0x03197c2abed3a4f2c0840da3c05c8bc18cdcf30a","4000","No"
"0x03386b763d2318c7a6d78b87ece0c510ccb9f349","4000","No"
"0x0345909427ecfb93aec8eeee38415bd500515ae4","1000","No"
"0x034850314d6e874a97cc980414056da121f9fb6f","15000","No"
"0x034f02aca9f8f1281044fb27f49b28e75c8bb391","3965.45110119911","No"
"0x0383999edef8fe701baa6f3147899deefa0bd30f","1000","No"
"0x0396ee328aa98e8190308bf9f9fa4b178c8e320e","26755.7281469256","No"
"0x039bb09d49ed630fefab4e830684a4edf861d251","4000","No"
"0x039d6c34c7a8172090f5d2534c19b4b936c810be","43000","No"
"0x03a0e12d287a6696494fae7979c6334d030a5fcb","4000","No"
"0x03a69096398e48eca0ef31c5bdabcc9f41106fc5","1000","No"
"0x03accc05b02c7df6f36064e016fc5cf650260ab3","1000","No"
"0x03aec3fc401305f5f45fb4f2491e85921c44f099","50000","No"
"0x03bf52197a34e9e036353da1c974c316dcb2faba","1000","No"
"0x03c8cbcd3e31541434b644f8bd79b5075cb4c29a","31000","No"
"0x03c99469042d7bc74b887f5a57d0d7b0857e0bcf","11697.8344104212","No"
"0x03caa98175f81076d4fa79910057918a6cd6c47f","7000","No"
"0x03cf14cf5a52bfe3ecc8920f495c830e1661afc1","1000","No"
"0x03d072b67ec3e43f09d16187a932d6e6a4c284e0","13000","No"
