"HolderAddress","Balance","PendingBalanceUpdate"
"0x000077d4cad5a94a505caea8d5a5c4c4eff969da","6000","No"
"0x0002081ff7d257ef0eb473eb5d7a3b4daf18038d","17000","No"
"0x0008906ca2e1d42dfb6bbcda7f9b709a0cfa8dfc","1000","No"
"0x0008c77f09833a3fa04b6adeac0c529f8e35d330","13000","No"
"0x000ad10b8f25ba6a98e9beb01d674b74bc23b6a7","36000","No"
"0x000dd950eeb3b71e13adfaa5932ffde6f420eab3","36000","No"
"0x00140d244b12507c7bbaf239aa9f7af25ad8cadc","5000","No"
"0x001c22bbfd5a41da15bd422480458250ecb9c7bd","1000","No"
"0x003c579ec3fc8d0f629354f63d51460a9bde4e18","1000","No"
"0x003c690228a3a177b9fa8a660e1e23bc93eb2968","1000","No"
"0x00425609c20aa4ae1e4ecca294052ee5cefca839","82000","No"
"0x0048d95a9b76fd8463c92e2841307090712720a5","21000","No"
"0x004928b0c3579b06031261355addcb68206b6962","79000","No"
"0x004cc29dcf142cc34c967973554af30c3ea28637","1000","No"
"0x0051acdc955e4c745e2ed7c317f879b1de45c46f","103000","No"
"0x0051f7e24977c6aff049c65bfbf3c2557b55cf8f","1000","No"
"0x0053ad828413aca31fad0d4087fa225368b72e6c","2000","No"
"0x005a42b70d4e790bcf46511ee8e717d6f0b03368","1000","No"
"0x006be8461f791628503fac6c343ca98f70853ca1","6000","No"
"0x006ed58e11efc2a892f71b56dc87d1dc9420cefb","42000","No"
"0x007583b8ab001a863c0b2c6f9d01e5004f21d28f","158000","No"
"0x00813a7da13628cabd816525832c15129c7f7327","52000","No"
"0x008699285e47a476b102cb4106837c7308eb73f3","3000","No"
"0x0087ccce2b9714c097542223142e1466b774c366","10000","No"
"0x008fa7ec9b24322e2ce6ed8e7e3c3085d9a07178","3000","No"
"0x0097bcee565b27a2cc2ae90ae37c45d0ef243f06","20000","No"
"0x0099f418494180fd21e9e2412585dec5825959db","29000","No"
"0x00a129a4af93d01f36e49a5cf57e62e3aecf0c69","1000","No"
"0x00a6cdad757eb97ba174dbba30e79cdd77488d4c","5000","No"
"0x00a6f29635249afdaaff0df1043670ef7ed8d8d5","7000","No"
"0x00a75ba3ea17b3c2782f0756022d1452c43ba7ca","8000","No"
"0x00a8968cc0fb5a02b7fdf002183a5f2c0fa44f76","10000","No"
"0x00ac9eec7fcbfb335ff678e4137e2e3383989204","1000","No"
"0x00b92baa9da5af182bc4086a6779d1e93fade1ff","1000","No"
"0x00bba8b70581c0181e90a4e84372be6f2943c32c","1000","No"
"0x00be47b8d2fa642d867d1dea263c23d989408aa7","2000","No"
"0x00c1d42ceb19eaf284083105ba4028a3c6190a5c","18000","No"
"0x00c47930565c2b2d497e54f6448bcb4d83cff1b9","1000","No"
"0x00d18b720905846c45624be9921dccedc6455c06","59000","No"
"0x00d5be29bcf339ff9b93be36532695084ddb7468","1000","No"
"0x00dc975c94b7e51768966f09c78e54ad0eccc410","5000","No"
"0x00de95b507ae6b2fe734cbf7a6de997d3f528835","1000","No"
"0x00df84900521fb36d4cffe3cecebb181c7dbbca3","3000","No"
"0x00e35bb48db8a0df493622e15c4af9a8cc3c8071","202000","No"
"0x00e5845cb60def6bef56e199daaa2aee33f6d0b0","1000","No"
"0x00e9d6c7fb5e3b29875987fc3235744238476c43","1000","No"
"0x00f28b0af2fb46072cc70b05ee94a84eee0f029d","13000","No"
"0x00fc99a6b783efd8bb9e8dc495cadde2346a0fa4","5000","No"
"0x00ff64d545ed6a510e92ee9fd62a3a532aa52d81","1000","No"
"0x0104e551ab9c1ebce9c65931bc7d71b0db1e1c1b","1000","No"
"0x010c7916d5163a9ee7abf88b528fc7b4a6888d46","1000","No"
"0x010c977674d7f14c7babeea88042b99352247803","57000","No"
"0x010fc5bfadb30fa970a0017607522f25e288e265","3000","No"
"0x011925b6138ddfceac7dfd6fe96da7c2ac7b0e64","83000","No"
"0x011e4da8332a7cd0a3c8ac60921647b8ca23102e","4000","No"
"0x01231f4dcbc6a87a5466b47cd519bddb283c9a3c","94000","No"
"0x0125e087593f2fc4502aafeb24b09ef1c5847bca","16000","No"
"0x012722e98795156f1c912a7784c9310a3b5b1ae4","2000","No"
"0x0127f3c6b820af4f517d3814acb8e857ec9ab174","1000","No"
"0x012e486c45c2d4cf928bea03f83e0cd9e795b4cc","300000","No"
"0x0135ce6c71a8f689ffa21ed3a66dc49e02088e71","5000","No"
"0x0144b6dfb4928eb958606c48c243da1f70c0dd2f","7000","No"
"0x014603be2f4e4baa0c69945559c3f6b422ab8796","1000","No"
"0x01544ed5cf8c166a00f7b8097df3d5ebc2156141","15000","No"
"0x0158809f93155267fde678ad04d763aac09af140","33000","No"
"0x0168a98f8c399c85c371b55d60b4c14874c403e4","1000","No"
"0x016e788671b9b01fff91366f6d35aeda602fbc9f","46000","No"
"0x01772e50f13f21e6a278e692423c4d514837f9de","25000","No"
"0x017e1d9ece0346d3fd6ca2267890195d2ae6fdec","4000","No"
